都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2022-08-31,上関,767,373,394,7,5,9,8,10,14,17,11,11,11,11,4,11,15,17,8,19,13,21,20,22,17,25,19,27,24,42,42,48,50,29,38,23,36,24,59,412,
353418,,山口県,上関町,2022-08-31,蒲井,56,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,3,2,1,5,3,7,4,26,50,
353418,,山口県,上関町,2022-08-31,四代,84,44,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,4,6,6,4,10,3,10,6,1,1,2,7,6,12,48,
353418,,山口県,上関町,2022-08-31,白井田,163,69,94,0,0,0,0,0,0,1,3,1,0,1,2,0,1,0,1,1,1,3,2,5,3,5,1,3,3,9,3,10,7,13,12,5,18,12,37,117,
353418,,山口県,上関町,2022-08-31,戸津,198,88,110,2,5,1,2,0,3,0,0,1,1,1,3,1,4,5,2,4,1,2,0,1,4,7,8,8,7,12,7,10,15,12,16,13,11,8,21,107,
353418,,山口県,上関町,2022-08-31,室津,838,406,432,12,8,13,11,10,11,11,7,11,6,16,4,17,12,18,18,18,15,29,15,29,17,29,26,34,36,30,31,48,60,33,38,24,42,24,75,452,
353418,,山口県,上関町,2022-08-31,祝島,302,145,157,3,4,1,1,0,0,1,0,1,0,4,1,4,3,0,1,2,2,6,1,5,1,9,4,8,4,20,12,22,18,16,27,16,27,27,51,213,
353418,,山口県,上関町,2022-08-31,八島,19,7,12,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,4,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
