都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2021-02-28,上関,804,392,412,9,6,10,9,12,13,17,14,12,8,13,6,16,12,16,11,23,12,20,22,24,22,27,21,27,24,43,49,49,48,28,36,22,41,24,58,421,
353418,,山口県,上関町,2021-02-28,蒲井,58,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,4,2,5,3,6,2,30,52,
353418,,山口県,上関町,2021-02-28,四代,96,46,50,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,2,0,0,0,6,7,4,4,12,4,7,5,2,5,2,6,6,16,55,
353418,,山口県,上関町,2021-02-28,白井田,176,75,101,1,1,1,0,0,1,1,2,1,0,1,2,0,1,0,0,2,2,5,4,4,2,5,3,3,2,10,4,10,11,11,11,11,21,9,34,122,
353418,,山口県,上関町,2021-02-28,戸津,204,93,111,2,3,1,2,0,3,0,0,1,1,2,4,2,5,4,0,3,1,3,1,1,4,6,9,12,8,11,11,10,13,13,15,12,9,10,22,108,
353418,,山口県,上関町,2021-02-28,室津,873,416,457,14,10,12,12,11,15,11,8,11,4,16,5,19,15,20,16,19,18,30,18,29,20,26,22,37,41,30,41,54,57,26,32,23,45,28,78,465,
353418,,山口県,上関町,2021-02-28,祝島,331,157,174,2,4,2,2,0,0,2,0,4,0,1,1,5,3,1,3,2,2,8,0,5,2,9,6,8,2,18,15,29,21,12,31,25,25,24,57,228,
353418,,山口県,上関町,2021-02-28,八島,23,8,15,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,7,2,5,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
