NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
19,久賀ふるさと館,クカフルサトカン,山口県大島郡周防大島町大字久賀4316,,,,,,,353051,山口県,周防大島町,,,,,,,,,,70(3.3㎡あたり1人),,,
20,前島公民館,マエシマコウミンカン,山口県大島郡周防大島町大字久賀前島7956,,,,,,,353051,山口県,周防大島町,,,,,,,,,,31(3.3㎡あたり1人),,,
21,大崎公会堂（集会場）,オオサキコウカイドウ（シュウカイジョウ）,山口県大島郡周防大島町大字久賀427-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,10(3.3㎡あたり1人),,,
22,白石生活改善センター,シライシセイカツカイゼンセンター,山口県大島郡周防大島町大字久賀194-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,10(3.3㎡あたり1人),,,
23,三蒲小学校グラウンド,ミガマショウガッコウグラウンド,山口県大島郡周防大島町大字東三蒲１１０６-１,,,,,,,353051,山口県,周防大島町,1,,1,1,1,1,1,,,352(2㎡あたり1人）,,,
24,旧屋代小学校グラウンド,キュウヤシロショウガッコウグラウンド,山口県大島郡周防大島町大字西屋代１６１９,,,,,,,353051,山口県,周防大島町,1,1,1,1,1,1,1,,,242(2㎡あたり1人）,,,
25,大島中学校グラウンド,オオシマチュウガッコウグラウンド,山口県大島郡周防大島町大字西屋代２５９８,,,,,,,353051,山口県,周防大島町,,1,1,1,,1,,,,705(2㎡あたり1人）,,,
26,大島商船高等専門学校グラウンド,オオシマショウセンコウトウセンモンガッコウグラウンド,山口県大島郡周防大島町大字小松１０９１-１,,,,,,,353051,山口県,周防大島町,,1,,1,,1,,,,1800(2㎡あたり1人）,,,
27,明新小学校グラウンド,メイシンショウガッコウグラウンド,山口県大島郡周防大島町大字小松開作１２１-１,,,,,,,353051,山口県,周防大島町,,1,,1,,1,,,,347(2㎡あたり1人）,,,
28,沖浦小学校グラウンド,オキウラショウガッコウグラウンド,山口県大島郡周防大島町大字横見３４６-１,,,,,,,353051,山口県,周防大島町,1,,1,1,1,1,1,,,240(2㎡あたり1人）,,,
29,西の郷・浜老人憩の家,ニシノゴウ・ハマロウジンイコイノイエ,山口県大島郡周防大島町大字西三蒲1829,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
30,蒲野農村環境改善センター,ガマノノウソンカンキョウカイゼンセンター,山口県大島郡周防大島町大字東三蒲1704-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,100(3.3㎡あたり1人),,,
31,三蒲小学校体育館,ミガマショウガッコウタイイクイカン,山口県大島郡周防大島町大字東三蒲1107-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,300(3.3㎡あたり1人),,,
32,三蒲小学校,ミガマショウガッコウ,山口県大島郡周防大島町大字東三蒲1106-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,135(3.3㎡あたり1人),,,
33,龍泉寺,リュウセンジ,山口県大島郡周防大島町大字西三蒲1516,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
34,畑公会堂,ハタコウカイドウ,山口県大島郡周防大島町大字西三蒲260-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,10(3.3㎡あたり1人),,,
35,小平老人憩の家,コベラロウジンイコイノイエ,山口県大島郡周防大島町大字西三蒲1090-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
36,笠佐老人憩の家（公民館）,カササロウジンイコイノイエ（コウミンカン）,山口県大島郡周防大島町大字笠佐島21-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,15(3.3㎡あたり1人),,,
37,小松コミュニティーセンター,コマツコミュニティーセンター,山口県大島郡周防大島町大字小松1075-4,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
38,大島商船高等専門学校第１体育館,オオシマショウセンコウトウセンモンガッコウダイイチタイイクカン,山口県大島郡周防大島町大字小松1091-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,300(3.3㎡あたり1人),,,
39,大島商船高等専門学校第２体育館,オオシマショウセンコウトウセンモンガッコウダイニタイイクカン,山口県大島郡周防大島町大字小松1091-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,100(3.3㎡あたり1人),,,
40,大島商船高等専門学校,オオシマショウセンコウトウセンモンガッコウ,山口県大島郡周防大島町大字小松1091-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,200(3.3㎡あたり1人),,,
41,北石老人憩の家,キタイシロウジンイコイノイエ,山口県大島郡周防大島町大字小松北石,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
42,明新小学校,メイシンショウガッコウ,山口県大島郡周防大島町大字小松開作121-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,285(3.3㎡あたり1人),,,
43,明新小学校屋内運動場,メイシンショウガッコウオクナイウンドウジョウ,山口県大島郡周防大島町大字小松開作121-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,150(3.3㎡あたり1人),,,
44,大島柑橘集荷場,オオシマカンキツシュウカジョウ,山口県大島郡周防大島町大字小松70-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,290(3.3㎡あたり1人),,,
45,大島文化センター,オオシマブンカセンター,山口県大島郡周防大島町大字小松138-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,260(3.3㎡あたり1人),,,
46,周防大島町役場大島庁舎,スオウオオシマチョウヤクバオオシマチョウシャ,山口県大島郡周防大島町大字小松126-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,50(3.3㎡あたり1人),,,
47,しまとぴあスカイセンター,シマトピアスカイセンター,山口県大島郡周防大島町大字小松125-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,95(3.3㎡あたり1人),,,
48,志駄岸神社,シダギシジンジャ,山口県大島郡周防大島町大字小松701-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
49,周防大島町B＆G海洋センター体育館,スオウオオシマチョウビーアンドジーカイヨウセンタータイイクカン,山口県大島郡周防大島町大字西屋代147,,,,,,,353051,山口県,周防大島町,,,,,,,,,,230(3.3㎡あたり1人),,,
50,大島中学校,オオシマチュウガッコウ,山口県大島郡周防大島町大字西屋代2598,,,,,,,353051,山口県,周防大島町,,,,,,,,,,250(3.3㎡あたり1人),,,
51,大島中学校屋内運動場,オオシマチュウガッコウオクナイウンドウジョウ,山口県大島郡周防大島町大字西屋代2598,,,,,,,353051,山口県,周防大島町,,,,,,,,,,130(3.3㎡あたり1人),,,
52,旧屋代小学校,キュウヤシロショウガッコウ,山口県大島郡周防大島町大字西屋代1619,,,,,,,353051,山口県,周防大島町,,,,,,,,,,190(3.3㎡あたり1人),,,
53,旧屋代小学校屋内運動場,キュウヤシロショウガッコウオクナイウンドウジョウ,山口県大島郡周防大島町大字西屋代1619,,,,,,,353051,山口県,周防大島町,,,,,,,,,,55(3.3㎡あたり1人),,,
54,神領コミュニティセンター,ジンリョウコミュニティーセンター,山口県大島郡周防大島町大字東屋代931-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,25(3.3㎡あたり1人),,,
55,西蓮寺,サイレンジ,山口県大島郡周防大島町大字東屋代944,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
56,屋代山泉センター,ヤシロサンセンセンター,山口県大島郡周防大島町大字東屋代2427,,,,,,,353051,山口県,周防大島町,,,,,,,,,,25(3.3㎡あたり1人),,,
57,志佐老人憩の家,シサロウジンイコイノイエ,山口県大島郡周防大島町大字志佐690-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,15(3.3㎡あたり1人),,,
59,沖浦小学校,オキウラショウガッコウ,山口県大島郡周防大島町大字横見346-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,150(3.3㎡あたり1人),,,
60,沖浦小学校屋内運動場,オキウラショウガッコウオクナイウンドウジョウ,山口県大島郡周防大島町大字横見346-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,25(3.3㎡あたり1人),,,
61,沖浦農村環境改善センター,オキウラノウソンカンキョウカイゼンセンター,山口県大島郡周防大島町大字戸田929-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,80(3.3㎡あたり1人),,,
62,津海木老人憩の家,ツノウギロウジンイコイノイエ,山口県大島郡周防大島町大字戸田275,,,,,,,353051,山口県,周防大島町,,,,,,,,,,15(3.3㎡あたり1人),,,
63,智光院,チコウイン,山口県大島郡周防大島町大字出井703-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
64,大島看護専門学校,オオシマカンゴセンモンガッコウ,山口県大島郡周防大島町大字家房1595-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,50(3.3㎡あたり1人),,,
65,大島看護専門学校寮,オオシマカンゴセンモンガッコウリョウ,山口県大島郡周防大島町大字家房1595-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,80(3.3㎡あたり1人),,,
66,油田小学校グラウンド,ユダショウガッコウグラウンド,山口県大島郡周防大島町大字伊保田１１９５,,,,,,,353051,山口県,周防大島町,1,,1,1,1,1,1,,,250(2㎡あたり1人）,,,
67,旧和田小学校グラウンド,キュウワダショウガッコウグラウンド,山口県大島郡周防大島町大字和田１４０３－１,,,,,,,353051,山口県,周防大島町,1,,,1,1,1,1,,,130(2㎡あたり1人）,,,
68,内入農村公園,ウチノニュウノウソンコウエン,山口県大島郡周防大島町大字内入５０５,,,,,,,353051,山口県,周防大島町,1,,1,1,1,1,1,,,50(2㎡あたり1人）,,,
